nurse_id,name,2026-04-01(수),2026-04-02(목),2026-04-03(금),2026-04-04(토),2026-04-05(일),2026-04-06(월),2026-04-07(화),2026-04-08(수),2026-04-09(목),2026-04-10(금),2026-04-11(토),2026-04-12(일),2026-04-13(월),2026-04-14(화),2026-04-15(수),2026-04-16(목),2026-04-17(금),2026-04-18(토),2026-04-19(일),2026-04-20(월),2026-04-21(화),2026-04-22(수),2026-04-23(목),2026-04-24(금),2026-04-25(토),2026-04-26(일),2026-04-27(월),2026-04-28(화),2026-04-29(수),2026-04-30(목),count_D,count_E,count_N,count_P,count_O
N011,강나윤,E (2 B),E (2 B),E (2 B),E (2 B),O (2 B),O (2 B),E (2 B),N (2 B),N (2 B),N (2 B),W-O (2 B),W-O (2 B),W-O (2 B),O (2 B),E (2 B),E (2 B),E (2 B),O (2 B),E (2 B),E (2 B),N (2 B),N (2 B),N (2 B),O (2 B),O (2 B),E (2 B),E (2 B),N (2 B),N (2 B),O (2 B),0,12,8,0,10
N012,임준서,O (2 B),D (2 B),D (2 B),O (2 B),O (2 B),D (2 B),D (2 B),D (2 B),D (2 B),O (2 B),D (2 B),D (2 B),D (2 B),O (2 B),D (2 B),D (2 B),D (2 B),E (2 B),O (2 B),O (2 B),E (2 B),E (2 B),O (2 B),E (2 B),E (2 B),O (2 B),O (2 B),D (2 B),D (2 B),D (2 B),15,5,0,0,10
N013,신예린,O (3 C),O (3 C),N (3 C),N (3 C),O (3 C),O (3 C),N (3 C),N (3 C),O (3 C),O (3 C),N (3 C),N (3 C),N (3 C),O (3 C),O (3 C),O (3 C),N (3 C),N (3 C),O (3 C),O (3 C),N (3 C),N (3 C),O (3 C),O (3 C),N (3 C),N (3 C),O (3 C),O (3 C),N (3 C),N (3 C),0,0,15,0,15
N014,황지안,N (3 C),N (3 C),O (3 C),O (3 C),E (3 C),E (3 C),N (3 C),N (3 C),N (3 C),O (3 C),O (3 C),O (3 C),E (3 C),E (3 C),E (3 C),E (3 C),O (3 C),O (3 C),E (3 C),E (3 C),E (3 C),E (3 C),O (3 C),O (3 C),E (3 C),E (3 C),N (3 C),N (3 C),O (3 C),O (3 C),0,12,7,0,11
N015,송도현,O (1 C),O (1 C),E (1 C),E (1 C),O (1 C),O (1 C),E (1 C),E (1 C),E (1 C),N (1 C),N (1 C),O (1 C),O (1 C),O (1 C),O (1 C),O (1 C),E (1 C),E (1 C),N (1 C),N (1 C),O (1 C),O (1 C),N (1 C),N (1 C),O (1 C),O (1 C),O (1 C),O (1 C),O (1 C),O (1 C),0,7,6,0,17
N016,문서진,E (2 C),E (2 C),O (2 C),O (2 C),N (2 C),N (2 C),O (2 C),O (2 C),O (2 C),E (2 C),E (2 C),E (2 C),O (2 C),N (2 C),N (2 C),N (2 C),O (2 C),O (2 C),O (2 C),O (2 C),O (2 C),O (2 C),E (2 C),E (2 C),O (2 C),O (2 C),E (2 C),E (2 C),E (2 C),E (2 C),0,11,5,0,14
N017,백하은,D (2 C),D (2 C),D (2 C),D (2 C),O (2 C),D (2 C),D (2 C),D (2 C),O (2 C),D (2 C),D (2 C),O (2 C),D (2 C),D (2 C),D (2 C),D (2 C),O (2 C),D (2 C),D (2 C),D (2 C),D (2 C),O (2 C),D (2 C),D (2 C),D (2 C),O (2 C),D (2 C),D (2 C),D (2 C),D (2 C),24,0,0,0,6
N018,유태오,O (3 D),O (3 D),D (3 D),N (3 D),N (3 D),N (3 D),O (3 D),O (3 D),D (3 D),D (3 D),O (3 D),D (3 D),D (3 D),D (3 D),O (3 D),D (3 D),D (3 D),N (3 D),N (3 D),O (3 D),O (3 D),N (3 D),N (3 D),N (3 D),O (3 D),O (3 D),D (3 D),D (3 D),D (3 D),D (3 D),12,0,8,0,10
N019,남시아,D (3 D),D (3 D),D (3 D),O (3 D),D (3 D),D (3 D),D (3 D),O (3 D),O (3 D),D (3 D),D (3 D),O (3 D),D (3 D),D (3 D),D (3 D),O (3 D),O (3 D),D (3 D),D (3 D),D (3 D),O (3 D),D (3 D),D (3 D),D (3 D),D (3 D),O (3 D),D (3 D),D (3 D),O (3 D),O (3 D),20,0,0,0,10
N020,노현우,E (1 D),O (1 D),O (1 D),D (1 D),E (1 D),E (1 D),W-O (1 D),W-O (1 D),W-O (1 D),E (1 D),E (1 D),O (1 D),E (1 D),E (1 D),E (1 D),E (1 D),O (1 D),O (1 D),O (1 D),E (1 D),E (1 D),E (1 D),E (1 D),O (1 D),E (1 D),E (1 D),E (1 D),E (1 D),O (1 D),E (1 D),1,18,0,0,11
N021,고채원,O (2 D),E (2 D),E (2 D),E (2 D),O (2 D),O (2 D),E (2 D),E (2 D),E (2 D),E (2 D),O (2 D),E (2 D),N (2 D),N (2 D),N (2 D),O (2 D),O (2 D),E (2 D),E (2 D),N (2 D),N (2 D),O (2 D),O (2 D),E (2 D),N (2 D),N (2 D),O (2 D),O (2 D),E (2 D),N (2 D),0,12,8,0,10
N022,배지후,N (2 D),N (2 D),N (2 D),O (2 D),O (2 D),D (2 D),D (2 D),D (2 D),N (2 D),N (2 D),O (2 D),O (2 D),O (2 D),D (2 D),D (2 D),D (2 D),D (2 D),O (2 D),D (2 D),D (2 D),D (2 D),D (2 D),O (2 D),O (2 D),O (2 D),D (2 D),N (2 D),N (2 D),N (2 D),O (2 D),12,0,8,0,10
N023,주다은,O (3 E),O (3 E),P (3 E),E (3 E),E (3 E),O (3 E),O (3 E),P (3 E),D (3 E),O (3 E),E (3 E),E (3 E),P (3 E),D (3 E),D (3 E),O (3 E),P (3 E),E (3 E),E (3 E),O (3 E),O (3 E),P (3 E),D (3 E),O (3 E),E (3 E),E (3 E),P (3 E),O (3 E),O (3 E),O (3 E),4,8,0,6,12
N024,안서준,P (2 E),P (2 E),O (2 E),P (2 E),P (2 E),P (2 E),P (2 E),O (2 E),P (2 E),P (2 E),P (2 E),P (2 E),O (2 E),P (2 E),P (2 E),P (2 E),O (2 E),P (2 E),P (2 E),P (2 E),P (2 E),O (2 E),P (2 E),P (2 E),P (2 E),P (2 E),O (2 E),P (2 E),P (2 E),P (2 E),0,0,0,24,6
COUNT_D,일자별 D 수,6,6,6,4,4,6,6,6,6,6,4,4,6,6,6,6,6,4,4,6,6,6,6,6,4,4,6,6,6,6,164,,,,
COUNT_E,일자별 E 수,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,150,,,
COUNT_N,일자별 N 수,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,120,,
COUNT_P,일자별 P 수,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,30,
COUNT_O,일자별 O 수,8,8,8,10,10,8,8,8,8,8,10,10,8,8,8,8,8,10,10,8,8,8,8,8,10,10,8,8,8,8,,,,,256
